tabuLength,iter,neighbourhood,cost
2011,2509,0.702941,46461.7
2715,1618,0.270476,66272.7
102,1247,0.235196,70107.7
1343,1746,0.0238461,106969
495,3824,0.780403,52487
855,478,0.395402,52132
3819,3897,0.360116,69361.3
2376,3807,0.113547,94529.3
664,2626,0.462716,54649.3
2618,2200,0.416121,66894.7
3811,3817,0.251286,57139.7
4290,2080,0.0475246,97288
3390,566,0.675475,45618.3
3299,2369,0.48976,45327
3513,607,0.268562,71005
1355,2831,0.61735,40026
1460,4609,0.43323,63360
4693,2064,0.575942,45274.3
2077,2929,0.109448,83847.3
2701,3062,0.0830359,99825
3149,783,0.773212,42619.7
3600,2710,0.31689,67396.3
4747,1368,0.503584,53822.3
1630,3225,0.306987,66657
1851,3293,0.661157,43899.7
4817,2258,0.304816,54579
2780,861,0.156191,89511.7
4655,797,0.425019,58539.3
1858,3939,0.202225,74265.3
3169,1641,0.222562,78233
2117,3968,0.374105,61654
3135,2122,0.324515,53540
416,585,0.267739,60724.3
1115,384,0.777856,37398.7
155,2102,0.524794,53583.7
3005,3669,0.24115,75566
474,1136,0.577159,51652
