temp,cooling,epochs,steps,cost
3303.15,0.88021,143,8.59065,116329
5337.28,0.86015,753,9.15219,107132
5200.65,0.959569,352,5.77955,111526
6632.11,0.992693,141,1.87575,1.64563e+06
4893.65,0.94323,313,0.548456,220118
5458.23,0.93617,138,8.99344,124176
1539.91,0.991796,279,4.05628,265905
958.299,0.860784,177,1.38337,186350
9858.75,0.876383,707,3.08109,108112
1315,0.86541,159,3.11412,144048
696.373,0.8715,454,3.76224,112669
1449.68,0.970894,951,2.12013,110528
3738.75,0.965934,475,7.41675,108554
9972.27,0.908461,631,9.88207,106690
6872.15,0.879059,839,7.60992,107883
4688.07,0.898274,865,0.874875,127932
8122.59,0.974972,713,7.33695,107301
2294.88,0.988527,189,9.86342,368883
3136.44,0.994148,232,1.3143,937741
4959.91,0.891443,168,3.2331,144345
1161.67,0.895935,530,2.72697,112917
2541.77,0.932864,261,3.51463,125959
3771.45,0.878628,985,9.42031,108844
1185.68,0.943172,751,3.65989,109806
5058.83,0.977452,359,3.04425,131945
4577.42,0.870808,383,1.17421,148788
2378.51,0.886593,987,8.41728,108415
2765.56,0.956993,522,1.24526,136240
2482.48,0.873016,67,1.79641,263455
9116.85,0.88494,313,2.7029,125448
988.388,0.878078,42,9.77431,165576
3989.01,0.88343,80,1.06303,317572
2029.32,0.950744,540,2.05724,117380
4497.06,0.935832,426,2.67881,117627
4977.51,0.97692,16,6.97945,1.82729e+06
2018.46,0.970309,159,0.725207,300269
5777.19,0.974678,36,5.83655,1.61132e+06
2899.91,0.968838,326,4.48454,117882
8079.12,0.989766,585,3.75751,135900
4148.88,0.972817,835,4.75046,107822
7225.27,0.896095,753,4.21559,107915
6540.05,0.994197,896,9.30439,127753
906.963,0.962529,224,1.87845,153847
1433.79,0.947096,15,6.40973,835084
6556.85,0.993042,598,8.07177,195326
2911.31,0.927275,154,0.235213,450849
5614.96,0.85128,917,4.13843,108135
2262.08,0.858292,49,8.88956,164182
935.829,0.944581,483,7.00065,107803
3155.41,0.993955,804,8.31406,119987
995.967,0.967966,329,2.40404,127358
4022.23,0.895483,191,8.07477,113473
756.629,0.893905,381,7.49367,109009
3573.66,0.973864,507,2.67085,117583
9419.26,0.944461,742,2.35567,111800
7259.77,0.864126,20,1.72001,870883
6749.82,0.93826,259,7.42366,112724
156.397,0.969726,898,1.002,121814
1644.95,0.93878,343,9.43568,108758
2416.64,0.963113,502,2.37686,119755
5624.08,0.915477,502,8.06762,107766
7508.22,0.945491,40,7.9208,945522
8404.58,0.857939,988,2.20349,109890
8252.72,0.85398,379,2.16263,124388
5056.55,0.870284,304,8.40134,108974
1466.85,0.921605,695,4.25797,109622
4999.33,0.856637,643,3.02296,109590
4215.42,0.888635,827,5.93086,108960
1680.05,0.885184,569,6.15799,108440
685.602,0.965381,265,7.67275,109947
2682.86,0.992546,639,9.50594,116843
1431.1,0.870515,43,2.82391,265889
9539.37,0.964483,542,6.71101,107550
2690.05,0.904697,659,3.51792,109822
7381.83,0.855042,900,5.77207,108612
7221.87,0.97641,637,3.633,109499
336.708,0.873532,102,8.73883,123852
5261.93,0.991686,210,1.26706,1.04028e+06
4690.94,0.954355,216,6.59195,117679
2091.02,0.994345,802,1.57569,147017
6087.99,0.85161,689,1.2809,124057
5081.19,0.900251,564,5.81728,108656
4141.66,0.928304,945,6.47431,107350
3661.6,0.898822,564,7.83308,106562
3757.79,0.978945,439,2.17444,130929
6993.64,0.943248,475,9.6093,107290
6033.59,0.92491,347,8.01241,108070
7650.08,0.982034,300,1.96004,207099
6057.1,0.883681,186,6.61528,117063
1608.53,0.981314,159,4.20403,217412
7072.44,0.958439,102,5.10909,274375
9636.76,0.986627,258,3.49074,442668
2107.49,0.944707,927,3.0169,107967
6257.35,0.953664,689,2.84847,111032
346.625,0.966956,275,2.38698,132831
6724.11,0.97155,946,3.65432,108343
1261.86,0.96444,865,1.21349,118294
402.319,0.904188,334,5.96303,109221
3360.02,0.944323,823,1.14921,120352
3573.75,0.947521,950,2.3587,111305
7047.33,0.968906,354,8.86851,107864
2086.18,0.859151,109,1.47533,220991
1083.24,0.99059,467,4.4117,121026
1744.45,0.903605,321,0.783261,184428
1890.04,0.966911,583,2.18617,115735
3346.44,0.993125,955,9.18799,103563
4889.63,0.97504,261,4.98722,131360
3279.77,0.879174,529,9.02208,107687
5184.82,0.961094,567,9.24975,107008
1106.4,0.976582,615,7.8671,106156
8467.11,0.887793,56,3.01464,278851
6050.97,0.887726,969,8.20716,109051
6509.27,0.892319,682,6.88204,108169
2111.98,0.876796,618,8.51155,107905
4198.93,0.86445,369,6.19429,110026
9728.88,0.978038,313,1.49367,190722
120.957,0.871466,422,7.76621,108608
7859.25,0.916421,480,3.50969,112054
470.526,0.881024,911,8.62245,107231
8831.3,0.980395,16,4.32671,2.03455e+06
6637.47,0.894489,922,3.35241,108648
7407.64,0.961453,303,1.76271,155334
4486.6,0.854329,724,4.00219,108782
6592.1,0.937115,847,2.84808,110275
431.646,0.870624,751,0.52867,151684
3040.57,0.915907,785,9.00112,107091
2257.61,0.991535,481,4.60165,141725
4613.4,0.941606,221,0.364508,313582
5067.16,0.982082,839,5.35406,108057
4370.16,0.85042,250,8.84746,110145
947.436,0.959718,300,4.20546,116711
3352.31,0.904575,814,2.41294,110997
2173.28,0.949606,874,9.93972,108023
4483.41,0.862947,515,5.19403,107844
351.727,0.855698,675,9.58168,107415
9190.74,0.992137,942,2.60942,118224
1563.06,0.932857,586,6.35363,108058
4507.75,0.88464,506,1.47826,125532
766.477,0.874102,71,9.15907,137305
8052.96,0.917035,848,0.281398,192261
5086.44,0.867537,280,4.2964,118376
4159.35,0.962011,250,1.18122,191749
8632.09,0.959986,130,2.28497,266165
6842.36,0.914682,700,3.05543,108602
1743.95,0.858269,851,3.79394,106863
3846.18,0.872268,892,9.00882,107517
2935.42,0.914342,688,1.76595,114464
7792.92,0.889057,703,8.30551,107626
5571.49,0.878945,305,8.84192,107544
6193.4,0.897968,269,3.35768,124269
3204.19,0.928729,799,0.572067,146022
3707.11,0.952352,917,6.38055,106764
8171.4,0.889963,300,5.98208,111863
1082.54,0.926829,936,5.88613,106599
3281.19,0.971374,518,4.43644,109124
8988.42,0.866284,459,1.26367,138166
7270.37,0.917358,536,5.09109,108397
7169.93,0.853102,571,9.8512,106368
6319.05,0.914104,246,3.8567,123520
9263.86,0.868032,996,7.17149,108553
5098.61,0.892015,197,9.04052,110583
9171.39,0.939611,295,3.63341,120819
1055.39,0.925279,967,8.68054,106398
6566.98,0.869447,27,9.71722,383340
8769.28,0.948064,409,7.61647,107750
7701.41,0.878705,586,7.92452,108005
54.5999,0.964591,211,9.50382,109811
3401.2,0.952208,810,6.25347,106249
9937.22,0.89239,417,4.50644,111186
1455.44,0.872214,486,7.49842,107889
1317.93,0.941925,80,8.65921,153880
